go_id,go_name,go_definition,num_biomarkers,biomarkers
65007,biological regulation,"Any process that modulates a measurable attribute of any biological process, quality or function.",21,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
5737,cytoplasm,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",21,"ADAMTSL4,BRI3BP,CCDC91,CDCA5,CUBN,ERBIN,GNMT,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TGFB3,TRAK1"
50794,regulation of cellular process,"Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.",21,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PLAA,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TRAK1,ZBTB2"
8152,metabolic process,"A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation.",20,"AEBP2,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
44238,primary metabolic process,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism.",19,"AEBP2,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
5634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",17,"AEBP2,CCDC91,CDCA5,CTR9,ERBIN,LMNB2,MBD2,NAA16,PDE7A,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,TRAK1,ZBTB2"
71840,cellular component organization or biogenesis,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component.",16,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LMNB2,MAP7,MBD2,PLAA,RANBP9,RANGRF,RIOX2,SPATC1L,TGFB3,TRAK1"
16043,cellular component organization,"A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component.",16,"ADAMTSL4,AEBP2,CDCA5,CTR9,ERBIN,GNMT,LMNB2,MAP7,MBD2,PLAA,RANBP9,RANGRF,RIOX2,SPATC1L,TGFB3,TRAK1"
31974,membrane-enclosed lumen,"The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen.",16,"ADAMTSL4,AEBP2,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,PDIA4,PRR13,RANBP9,RANGRF,RIOX2,TGFB3,ZBTB2"
70013,intracellular organelle lumen,An organelle lumen that is part of an intracellular organelle.,16,"ADAMTSL4,AEBP2,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,PDIA4,PRR13,RANBP9,RANGRF,RIOX2,TGFB3,ZBTB2"
43233,organelle lumen,"The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen.",16,"ADAMTSL4,AEBP2,CCDC91,CDCA5,CTR9,CUBN,ERBIN,LMNB2,MBD2,PDIA4,PRR13,RANBP9,RANGRF,RIOX2,TGFB3,ZBTB2"
50896,response to stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism.",15,"CDCA5,CTR9,CUBN,ERBIN,LEPR,MAP7,MBD2,NUS1,PDE7A,PDIA4,PLAA,RANBP9,RASSF5,SPATC1L,TGFB3"
48518,positive regulation of biological process,"Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule.",15,"ADAMTSL4,CDCA5,CTR9,ERBIN,LEPR,MBD2,NAA16,NUS1,PLAA,RANBP9,RANGRF,RASSF5,SPATC1L,TGFB3,TRAK1"
19222,regulation of metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",15,"AEBP2,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
60255,regulation of macromolecule metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",14,"AEBP2,CTR9,ERBIN,LEPR,LMNB2,MBD2,NAA16,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
48522,positive regulation of cellular process,"Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.",14,"ADAMTSL4,CDCA5,CTR9,LEPR,MBD2,NAA16,NUS1,PLAA,RANBP9,RANGRF,RASSF5,SPATC1L,TGFB3,TRAK1"
51179,localization,"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation.",14,"CCDC91,CDCA5,CUBN,ERBIN,LEPR,LMNB2,MAP7,NUS1,PDIA4,PLAA,RANGRF,RASSF5,TGFB3,TRAK1"
80090,regulation of primary metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism.",14,"AEBP2,CTR9,ERBIN,GNMT,LEPR,MBD2,NAA16,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,TRAK1,ZBTB2"
51641,cellular localization,"A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane.",13,"CCDC91,CDCA5,CUBN,ERBIN,LMNB2,MAP7,NUS1,PDIA4,PLAA,RANGRF,RASSF5,TGFB3,TRAK1"
5829,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",13,"CCDC91,CDCA5,CUBN,GNMT,MAP7,MBD2,NAA16,PDE7A,PRR13,RANBP9,RANGRF,RIOX2,TRAK1"
16020,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.,13,"BRI3BP,CCDC91,CUBN,ERBIN,LEPR,LMNB2,MAP7,NUS1,RANBP9,RANGRF,TGFB3,TMEM128,TRAK1"
51716,cellular response to stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell.",13,"CDCA5,CTR9,ERBIN,LEPR,MBD2,NUS1,PDE7A,PDIA4,PLAA,RANBP9,RASSF5,SPATC1L,TGFB3"
48519,negative regulation of biological process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule.",13,"AEBP2,CTR9,ERBIN,LEPR,LMNB2,MBD2,NAA16,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,ZBTB2"
48523,negative regulation of cellular process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.",13,"AEBP2,CTR9,ERBIN,LEPR,LMNB2,MBD2,NAA16,PLAA,RANBP9,RASSF5,RIOX2,TGFB3,ZBTB2"
9889,regulation of biosynthetic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances.",12,"AEBP2,CTR9,ERBIN,GNMT,LEPR,LMNB2,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
31981,nuclear lumen,The volume enclosed by the nuclear inner membrane.,12,"AEBP2,CCDC91,CDCA5,CTR9,ERBIN,LMNB2,MBD2,PRR13,RANBP9,RANGRF,RIOX2,ZBTB2"
51234,establishment of localization,"Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation.",12,"CCDC91,CDCA5,CUBN,ERBIN,LEPR,LMNB2,NUS1,PDIA4,PLAA,RANGRF,TGFB3,TRAK1"
33036,macromolecule localization,"Any process in which a macromolecule is transported to, or maintained in, a specific location.",11,"CCDC91,CUBN,ERBIN,LMNB2,MAP7,NUS1,PDIA4,RANGRF,RASSF5,TGFB3,TRAK1"
5654,nucleoplasm,That part of the nuclear content other than the chromosomes or the nucleolus.,11,"AEBP2,CCDC91,CDCA5,CTR9,ERBIN,MBD2,PRR13,RANBP9,RANGRF,RIOX2,ZBTB2"
42802,identical protein binding,Binding to an identical protein or proteins.,11,"ADAMTSL4,CUBN,GNMT,LEPR,LMNB2,MBD2,RASSF5,RIOX2,SPATC1L,TGFB3,ZBTB2"
32991,protein-containing complex,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together.",10,"AEBP2,CTR9,CUBN,LEPR,MAP7,MBD2,NAA16,NUS1,RANBP9,RIOX2"
6810,transport,"The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein.",10,"CCDC91,CUBN,LEPR,LMNB2,NUS1,PDIA4,PLAA,RANGRF,TGFB3,TRAK1"
10556,regulation of macromolecule biosynthetic process,"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",10,"AEBP2,CTR9,ERBIN,LMNB2,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
43228,membraneless organelle,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes.",10,"AEBP2,CDCA5,CTR9,LMNB2,MAP7,MBD2,RANBP9,RASSF5,RIOX2,SPATC1L"
9892,negative regulation of metabolic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",10,"AEBP2,CTR9,ERBIN,LEPR,LMNB2,MBD2,PLAA,RIOX2,TGFB3,ZBTB2"
10468,regulation of gene expression,"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).",10,"AEBP2,CTR9,ERBIN,LMNB2,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
43232,intracellular membraneless organelle,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes.",10,"AEBP2,CDCA5,CTR9,LMNB2,MAP7,MBD2,RANBP9,RASSF5,RIOX2,SPATC1L"
8104,intracellular protein localization,"Any process in which a protein is transported to, or maintained in, a specific location.",10,"CCDC91,CUBN,ERBIN,LMNB2,MAP7,PDIA4,RANGRF,RASSF5,TGFB3,TRAK1"
36094,small molecule binding,"Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule.",10,"AEBP2,CUBN,GNMT,MBD2,NUS1,PDE7A,RANGRF,RASSF5,RIOX2,ZBTB2"
70727,obsolete cellular macromolecule localization,"OBSOLETE. Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell.",10,"CCDC91,CUBN,ERBIN,LMNB2,MAP7,PDIA4,RANGRF,RASSF5,TGFB3,TRAK1"
12505,endomembrane system,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles.",10,"ADAMTSL4,CCDC91,CUBN,ERBIN,LMNB2,NUS1,PDIA4,RANGRF,TGFB3,TRAK1"
19219,regulation of nucleobase-containing compound metabolic process,"Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids.",9,"AEBP2,CTR9,ERBIN,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
32502,developmental process,"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition.",9,"ADAMTSL4,CTR9,LEPR,MBD2,NUS1,PLAA,SPATC1L,TGFB3,TRAK1"
43167,ion binding,"Binding to an ion, a charged atoms or groups of atoms.",9,"AEBP2,CUBN,GNMT,NUS1,PDE7A,RANGRF,RASSF5,RIOX2,ZBTB2"
19538,protein metabolic process,The chemical reactions and pathways involving a protein. Includes protein modification.,9,"GNMT,LEPR,NAA16,NUS1,PDIA4,PLAA,RANBP9,RASSF5,TRAK1"
6355,regulation of DNA-templated transcription,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",9,"AEBP2,CTR9,ERBIN,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
2001141,regulation of RNA biosynthetic process,"Any process that modulates the frequency, rate or extent of RNA biosynthetic process.",9,"AEBP2,CTR9,ERBIN,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
6351,DNA-templated transcription,The synthesis of an RNA transcript from a DNA template.,9,"AEBP2,CTR9,ERBIN,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
10605,negative regulation of macromolecule metabolic process,"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",9,"AEBP2,CTR9,ERBIN,LMNB2,MBD2,PLAA,RIOX2,TGFB3,ZBTB2"
51252,regulation of RNA metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA.",9,"AEBP2,CTR9,ERBIN,MBD2,NAA16,RIOX2,TGFB3,TRAK1,ZBTB2"
6996,organelle organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane.",8,"CDCA5,ERBIN,LMNB2,MAP7,RANBP9,RANGRF,SPATC1L,TGFB3"
51239,regulation of multicellular organismal process,"Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs.",8,"CTR9,ERBIN,LEPR,RANGRF,RASSF5,TGFB3,TRAK1,ZBTB2"
48856,anatomical structure development,"The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome.",8,"ADAMTSL4,CTR9,LEPR,MBD2,NUS1,PLAA,TGFB3,TRAK1"
3824,catalytic activity,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",8,"GNMT,NAA16,NUS1,PDE7A,PDIA4,PLAA,RANGRF,RIOX2"
51649,establishment of localization in cell,"Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation.",8,"CCDC91,CDCA5,CUBN,LMNB2,NUS1,PLAA,RANGRF,TRAK1"
45184,establishment of protein localization,The directed movement of a protein to a specific location.,7,"CCDC91,CUBN,ERBIN,PDIA4,RANGRF,TGFB3,TRAK1"
9893,positive regulation of metabolic process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",7,"CTR9,LEPR,MBD2,NAA16,RANBP9,RASSF5,TGFB3"
10604,positive regulation of macromolecule metabolic process,"Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",7,"CTR9,LEPR,MBD2,NAA16,RANBP9,RASSF5,TGFB3"
36211,protein modification process,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification).",7,"GNMT,LEPR,NAA16,NUS1,PLAA,RASSF5,TRAK1"
7010,cytoskeleton organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.",7,"ERBIN,LMNB2,MAP7,RANBP9,RANGRF,SPATC1L,TGFB3"
43412,macromolecule modification,"The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties.",7,"GNMT,LEPR,NAA16,NUS1,PLAA,RASSF5,TRAK1"
6950,response to stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).",6,"CDCA5,ERBIN,MAP7,PDIA4,PLAA,TGFB3"
1902494,catalytic complex,A protein complex which is capable of catalytic activity.,6,"AEBP2,CTR9,MBD2,NAA16,NUS1,RANBP9"
31982,vesicle,"Any small, fluid-filled, spherical organelle enclosed by membrane.",6,"CUBN,NAA16,PDIA4,PLAA,TGFB3,TRAK1"
31090,organelle membrane,A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle.,6,"BRI3BP,CUBN,ERBIN,LMNB2,NUS1,TRAK1"
2376,immune system process,"Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats.",6,"CTR9,ERBIN,LEPR,RASSF5,TGFB3,ZBTB2"
32879,regulation of localization,"Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location.",6,"LEPR,NUS1,PLAA,RANGRF,RASSF5,TGFB3"
16192,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",6,"CCDC91,CUBN,LEPR,PLAA,RANGRF,TRAK1"
15031,protein transport,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",5,"CCDC91,CUBN,PDIA4,RANGRF,TGFB3"
10646,regulation of cell communication,"Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.",5,"ERBIN,MBD2,RANBP9,SPATC1L,TGFB3"
23051,regulation of signaling,"Any process that modulates the frequency, rate or extent of a signaling process.",5,"ERBIN,MBD2,RANBP9,SPATC1L,TGFB3"
71705,nitrogen compound transport,"The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",5,"CCDC91,CUBN,PDIA4,RANGRF,TGFB3"
9966,regulation of signal transduction,"Any process that modulates the frequency, rate or extent of signal transduction.",5,"ERBIN,MBD2,RANBP9,SPATC1L,TGFB3"
51253,negative regulation of RNA metabolic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA.",5,"AEBP2,CTR9,MBD2,RIOX2,ZBTB2"
48583,regulation of response to stimulus,"Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus.",5,"ERBIN,MBD2,RANBP9,SPATC1L,TGFB3"
46907,intracellular transport,The directed movement of substances within a cell.,5,"CCDC91,LMNB2,NUS1,RANGRF,TRAK1"
1990234,transferase complex,"A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor).",5,"AEBP2,CTR9,NAA16,NUS1,RANBP9"
9605,response to external stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus.",5,"CTR9,CUBN,ERBIN,MBD2,PLAA"
5856,cytoskeleton,"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.",5,"LMNB2,MAP7,RANBP9,RASSF5,SPATC1L"
45934,negative regulation of nucleobase-containing compound metabolic process,"Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids.",5,"AEBP2,CTR9,MBD2,RIOX2,ZBTB2"
2682,regulation of immune system process,"Any process that modulates the frequency, rate, or extent of an immune system process.",5,"CTR9,ERBIN,RASSF5,TGFB3,ZBTB2"
5783,endoplasmic reticulum,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).",5,"ADAMTSL4,CUBN,NUS1,PDIA4,RANGRF"
35556,intracellular signal transduction,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.",5,"ERBIN,PDE7A,RANBP9,SPATC1L,TGFB3"
51049,regulation of transport,"Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",5,"LEPR,NUS1,PLAA,RANGRF,TGFB3"
