entity,entity_name,num_biomarkers,biomarkers,definition
GO_0060255_instance,regulation of macromolecule metabolic process,8,"RIOX2,RASSF5,RANBP9,LEPR,NMD3","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO_0048518_instance,positive regulation of biological process,8,"RASSF5,RANBP9,LEPR,NMD3,FEZ1","Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO_0006810_instance,transport,8,"CUBN,LEPR,PDIA4,CCDC91,NMD3","The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."
GO_0005634_instance,nucleus,8,"RIOX2,RASSF5,RANBP9,CCDC91,NMD3","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
GO_0050896_instance,response to stimulus,8,"CUBN,RASSF5,RANBP9,LEPR,PDIA4","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
GO_0080090_instance,regulation of primary metabolic process,8,"RIOX2,RASSF5,RANBP9,LEPR,NMD3","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO_0031974_instance,membrane-enclosed lumen,8,"RIOX2,CUBN,RANBP9,PDIA4,CCDC91","The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."
GO_0043233_instance,organelle lumen,8,"RIOX2,CUBN,RANBP9,PDIA4,CCDC91","The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."
GO_0070013_instance,intracellular organelle lumen,8,"RIOX2,CUBN,RANBP9,PDIA4,CCDC91",An organelle lumen that is part of an intracellular organelle.
GO_0048523_instance,negative regulation of cellular process,7,"RIOX2,RASSF5,RANBP9,LEPR,FEZ1","Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO_0048519_instance,negative regulation of biological process,7,"RIOX2,RASSF5,RANBP9,LEPR,FEZ1","Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO_0071840_instance,cellular component organization or biogenesis,7,"RIOX2,RANBP9,NMD3,FEZ1,TRAK1","A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO_0070727_instance,obsolete cellular macromolecule localization,7,"CUBN,RASSF5,PDIA4,CCDC91,NMD3","OBSOLETE. Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."
GO_0008104_instance,intracellular protein localization,7,"CUBN,RASSF5,PDIA4,CCDC91,NMD3","Any process in which a protein is transported to, or maintained in, a specific location."
GO_0033036_instance,macromolecule localization,7,"CUBN,RASSF5,PDIA4,CCDC91,NMD3","Any process in which a macromolecule is transported to, or maintained in, a specific location."
GO_0048522_instance,positive regulation of cellular process,7,"RASSF5,RANBP9,LEPR,NMD3,FEZ1","Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO_0051649_instance,establishment of localization in cell,6,"CUBN,CCDC91,NMD3,FEZ1,TRAK1","Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."
Pathway_R-HSA-162582,R-HSA-162582,6,"R-HSA-5654738,RANBP9,R-HSA-9013507,TRAK1,NRG1",
GO_0051716_instance,cellular response to stimulus,6,"RASSF5,RANBP9,LEPR,PDIA4,NRG1","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."
GO_0019538_instance,protein metabolic process,6,"RASSF5,RANBP9,LEPR,PDIA4,TRAK1",The chemical reactions and pathways involving a protein. Includes protein modification.
GO_0045184_instance,establishment of protein localization,6,"CUBN,PDIA4,CCDC91,NMD3,TRAK1",The directed movement of a protein to a specific location.
GO_0016043_instance,cellular component organization,6,"RIOX2,RANBP9,FEZ1,TRAK1,NRG1","A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO_0012505_instance,endomembrane system,6,"CUBN,PDIA4,CCDC91,FEZ1,TRAK1","A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."
Pathway_0000000,0000000,6,"RIOX2,CUBN,RANBP9,TRAK1,NRG1",
GO_0009889_instance,regulation of biosynthetic process,6,"RIOX2,LEPR,NMD3,TRAK1,NRG1","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
GO_0031981_instance,nuclear lumen,6,"RIOX2,RANBP9,CCDC91,NMD3,NRG1",The volume enclosed by the nuclear inner membrane.
GO_0005654_instance,nucleoplasm,6,"RIOX2,RANBP9,CCDC91,NMD3,NRG1",That part of the nuclear content other than the chromosomes or the nucleolus.
GO_0051239_instance,regulation of multicellular organismal process,5,"RASSF5,LEPR,TRAK1,NRG1,ERBIN","Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."
GO_0032879_instance,regulation of localization,5,"RASSF5,LEPR,NMD3,FEZ1,NRG1","Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."
GO_0010604_instance,positive regulation of macromolecule metabolic process,5,"RASSF5,RANBP9,LEPR,NMD3,NRG1","Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO_2001141_instance,regulation of RNA biosynthetic process,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN","Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
GO_0009893_instance,positive regulation of metabolic process,5,"RASSF5,RANBP9,LEPR,NMD3,NRG1","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
Pathway_R-HSA-1643685,R-HSA-1643685,5,"CUBN,R-HSA-9675136,TRAK1,NRG1,ERBIN",
GO_0016192_instance,vesicle-mediated transport,5,"CUBN,LEPR,CCDC91,TRAK1,NRG1","A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
GO_0043232_instance,intracellular membraneless organelle,5,"RIOX2,RASSF5,RANBP9,NMD3,FEZ1","Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."
GO_0010556_instance,regulation of macromolecule biosynthetic process,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN","Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO_0043228_instance,membraneless organelle,5,"RIOX2,RASSF5,RANBP9,NMD3,FEZ1","Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."
GO_0051252_instance,regulation of RNA metabolic process,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO_0019219_instance,regulation of nucleobase-containing compound metabolic process,5,"RIOX2,NMD3,TRAK1,NRG1,ERBIN","Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO_0005829_instance,cytosol,5,"RIOX2,CUBN,RANBP9,CCDC91,TRAK1","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
GO_0009892_instance,negative regulation of metabolic process,5,"RIOX2,LEPR,FEZ1,NRG1,ERBIN","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO_0036211_instance,protein modification process,4,"RASSF5,LEPR,TRAK1,NRG1","The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
GO_0046907_instance,intracellular transport,4,"CCDC91,NMD3,FEZ1,TRAK1",The directed movement of substances within a cell.
GO_0048856_instance,anatomical structure development,4,"LEPR,FEZ1,TRAK1,NRG1","The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO_0032502_instance,developmental process,4,"LEPR,FEZ1,TRAK1,NRG1","A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."
GO_0051246_instance,regulation of protein metabolic process,4,"RASSF5,RANBP9,LEPR,NRG1","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."
GO_0043412_instance,macromolecule modification,4,"RASSF5,LEPR,TRAK1,NRG1","The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."
Pathway_R-HSA-9006934,R-HSA-9006934,4,"R-HSA-5654738,RANBP9,NRG1,ERBIN",
GO_0015031_instance,protein transport,4,"CUBN,PDIA4,CCDC91,NMD3","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO_0010468_instance,regulation of gene expression,4,"RIOX2,TRAK1,NRG1,ERBIN","Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO_0071705_instance,nitrogen compound transport,4,"CUBN,PDIA4,CCDC91,NMD3","The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO_0032991_instance,protein-containing complex,4,"RIOX2,CUBN,RANBP9,LEPR","A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
GO_0042802_instance,identical protein binding,4,"RIOX2,CUBN,RASSF5,LEPR",Binding to an identical protein or proteins.
GO_0006351_instance,DNA-templated transcription,4,"RIOX2,TRAK1,NRG1,ERBIN",The synthesis of an RNA transcript from a DNA template.
GO_0006355_instance,regulation of DNA-templated transcription,4,"RIOX2,TRAK1,NRG1,ERBIN","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
GO_0006897_instance,endocytosis,3,"CUBN,LEPR,NRG1",A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle.
GO_0006996_instance,organelle organization,3,"RANBP9,FEZ1,ERBIN","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO_0019899_instance,enzyme binding,3,"RANBP9,FEZ1,NRG1","Binding to an enzyme, a protein with catalytic activity."
Protein_MAPK1,MAPK1,3,"R-HSA-5654738,R-HSA-877300,NRG1",
GO_0060341_instance,regulation of cellular localization,3,"RASSF5,NMD3,FEZ1","Any process that modulates the frequency, rate or extent of a process in which a cell, a substance, or a cellular entity is transported to, or maintained in a specific location within or in the membrane of a cell."
GO_0002376_instance,immune system process,3,"RASSF5,LEPR,ERBIN","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
GO_0005856_instance,cytoskeleton,3,"RASSF5,RANBP9,FEZ1","A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
GO_0015630_instance,microtubule cytoskeleton,3,"RASSF5,RANBP9,FEZ1",The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins.
Protein_KRAS,KRAS,3,"RASSF5,RANBP9,NRG1",
Protein_ITGB1,ITGB1,3,"RASSF5,RANBP9,R-HSA-216083",
Pathway_R-HSA-1430728,R-HSA-1430728,3,"CUBN,RANBP9,R-HSA-400206",
GO_0009605_instance,response to external stimulus,3,"CUBN,NRG1,ERBIN","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
GO_0003824_instance,catalytic activity,3,"RIOX2,PDIA4,NRG1","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
GO_0005794_instance,Golgi apparatus,3,"CUBN,CCDC91,FEZ1","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
GO_0031982_instance,vesicle,3,"CUBN,PDIA4,TRAK1","Any small, fluid-filled, spherical organelle enclosed by membrane."
GO_0097708_instance,intracellular vesicle,3,"CUBN,PDIA4,TRAK1",Any vesicle that is part of the intracellular region.
GO_0031410_instance,cytoplasmic vesicle,3,"CUBN,PDIA4,TRAK1",A vesicle found in the cytoplasm of a cell.
GO_0031090_instance,organelle membrane,3,"CUBN,TRAK1,ERBIN",A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle.
GO_0043167_instance,ion binding,3,"RIOX2,CUBN,RASSF5","Binding to an ion, a charged atoms or groups of atoms."
GO_0036094_instance,small molecule binding,3,"RIOX2,CUBN,RASSF5","Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."
GO_0140096_instance,"catalytic activity, acting on a protein",3,"RIOX2,PDIA4,NRG1",Catalytic activity that acts to modify a protein.
GO_0010605_instance,negative regulation of macromolecule metabolic process,3,"RIOX2,NRG1,ERBIN","Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO_0060090_instance,molecular adaptor activity,3,"RIOX2,NMD3,NRG1","The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way."
GO_0030674_instance,protein-macromolecule adaptor activity,3,"RIOX2,NMD3,NRG1","An adaptor activity that brings together two or more macromolecules in contact, permitting those molecules to function in a coordinated way. The adaptor can bring together two proteins, or a protein and another macromolecule such as a lipid or a nucleic acid."
GO_0035556_instance,intracellular signal transduction,3,"RANBP9,NRG1,ERBIN","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
